date,vol_bucket,risk_regime
2022-12-06,High_Vol,Risk-Off
2022-12-07,High_Vol,Risk-Off
2022-12-08,High_Vol,Risk-Off
2022-12-09,High_Vol,Risk-Off
2022-12-12,High_Vol,Risk-Off
2022-12-13,High_Vol,Risk-Off
2022-12-14,High_Vol,Risk-Off
2022-12-15,High_Vol,Risk-Off
2022-12-16,High_Vol,Risk-Off
2022-12-19,High_Vol,Risk-Off
2022-12-20,High_Vol,Risk-Off
2022-12-21,High_Vol,Risk-Off
2022-12-22,High_Vol,Risk-Off
2022-12-23,High_Vol,Risk-Off
2022-12-27,High_Vol,Risk-Off
2022-12-28,High_Vol,Risk-Off
2022-12-29,High_Vol,Risk-Off
2022-12-30,High_Vol,Risk-Off
2023-01-03,Mid_Vol,Risk-Off
2023-01-04,Mid_Vol,Risk-Off
2023-01-05,Mid_Vol,Risk-Off
2023-01-06,High_Vol,Risk-On
2023-01-09,High_Vol,Neutral
2023-01-10,Mid_Vol,Risk-On
2023-01-11,High_Vol,Risk-On
2023-01-12,High_Vol,Risk-Off
2023-01-13,High_Vol,Risk-Off
2023-01-17,Mid_Vol,Risk-Off
2023-01-18,Mid_Vol,Risk-Off
2023-01-19,Mid_Vol,Risk-Off
2023-01-20,High_Vol,Risk-Off
2023-01-23,High_Vol,Risk-Off
2023-01-24,High_Vol,Risk-Off
2023-01-25,High_Vol,Risk-Off
2023-01-26,Mid_Vol,Risk-On
2023-01-27,Mid_Vol,Risk-Off
2023-01-30,Mid_Vol,Risk-Off
2023-01-31,Mid_Vol,Risk-Off
2023-02-01,High_Vol,Risk-Off
2023-02-02,High_Vol,Risk-Off
2023-02-03,High_Vol,Risk-Off
2023-02-06,High_Vol,Risk-Off
2023-02-07,High_Vol,Risk-Off
2023-02-08,High_Vol,Risk-Off
2023-02-09,High_Vol,Risk-Off
2023-02-10,Mid_Vol,Risk-Off
2023-02-13,High_Vol,Risk-Off
2023-02-14,High_Vol,Risk-Off
2023-02-15,High_Vol,Risk-Off
2023-02-16,High_Vol,Risk-Off
2023-02-17,High_Vol,Risk-Off
2023-02-21,High_Vol,Risk-Off
2023-02-22,Mid_Vol,Risk-Off
2023-02-23,Mid_Vol,Risk-Off
2023-02-24,Mid_Vol,Risk-Off
2023-02-27,Mid_Vol,Risk-Off
2023-02-28,Mid_Vol,Risk-Off
2023-03-01,Mid_Vol,Risk-Off
2023-03-02,Mid_Vol,Risk-Off
2023-03-03,Mid_Vol,Risk-Off
2023-03-06,Mid_Vol,Risk-Off
2023-03-07,Mid_Vol,Risk-Off
2023-03-08,Mid_Vol,Risk-Off
2023-03-09,High_Vol,Risk-Off
2023-03-10,High_Vol,Risk-Off
2023-03-13,Mid_Vol,Risk-Off
2023-03-14,High_Vol,Risk-Off
2023-03-15,High_Vol,Risk-Off
2023-03-16,High_Vol,Risk-Off
2023-03-17,High_Vol,Risk-Off
2023-03-20,High_Vol,Risk-Off
2023-03-21,High_Vol,Risk-Off
2023-03-22,High_Vol,Risk-Off
2023-03-23,High_Vol,Risk-Off
2023-03-24,High_Vol,Risk-On
2023-03-27,High_Vol,Risk-On
2023-03-28,High_Vol,Risk-Off
2023-03-29,High_Vol,Risk-Off
2023-03-30,High_Vol,Risk-On
2023-03-31,High_Vol,Risk-Off
2023-04-03,High_Vol,Risk-Off
2023-04-04,Mid_Vol,Risk-Off
2023-04-05,Mid_Vol,Neutral
2023-04-06,Mid_Vol,Risk-Off
2023-04-07,Mid_Vol,Risk-Off
2023-04-10,Low_Vol,Risk-Off
2023-04-11,Low_Vol,Risk-On
